,course_code,course_title,keywords
0,BCHY101L,Engineering Chemistry,"['engineering chemistry', 'chemistry', 'engineering']"
1,BCHY101P,Engineering Chemistry Lab,"['engineering chemistry lab', 'chemistry lab', 'engineering chemistry', 'chemistry', 'lab', 'engineering']"
2,BMAT101L,Calculus,['calculus']
3,BMAT101P,Calculus Lab,"['calculus lab', 'calculus', 'lab']"
4,BMAT102L,Differential Equations and Transforms,"['differential equations transforms', 'equations transforms', 'differential equations', 'transforms', 'differential', 'equations']"
5,BMAT201L,Complex Variables and Linear Algebra,"['complex variables linear', 'complex variables', 'variables linear algebra', 'linear algebra', 'variables linear', 'complex', 'algebra', 'variables', 'linear']"
6,BMAT202L,Probability and Statistics,"['probability statistics', 'probability', 'statistics']"
7,BMAT202P,Probability and Statistics Lab,"['probability statistics lab', 'probability statistics', 'statistics lab', 'probability', 'statistics', 'lab']"
8,BPHY101L,Engineering Physics,"['engineering physics', 'engineering', 'physics']"
9,BPHY101P,Engineering Physics Lab,"['engineering physics lab', 'physics lab', 'engineering physics', 'engineering', 'physics', 'lab']"
10,BCSE101E,Computer Programming : Python,"['computer programming python', 'programming python', 'python', 'computer programming', 'programming', 'computer']"
11,BCSE102L,Structured and Object - Oriented Programming,"['structured object oriented', 'object oriented programming', 'oriented programming', 'object oriented', 'structured object', 'programming', 'structured', 'object', 'oriented']"
12,BCSE102P,Structured and Object - Oriented Programming Lab,"['oriented programming lab', 'structured object oriented', 'object oriented programming', 'oriented programming', 'programming lab', 'object oriented', 'structured object', 'programming', 'structured', 'lab']"
13,BCSE103E,Computer Programming : Java,"['computer programming java', 'programming java', 'java', 'computer programming', 'programming', 'computer']"
14,BEEE102L,Basic Electrical and Electronics Engineering,"['electrical electronics engineering', 'electronics engineering', 'basic electrical electronics', 'electrical electronics', 'basic electrical', 'electrical', 'electronics', 'engineering', 'basic']"
15,BEEE102P,Basic Electrical and Electronics Engineering Lab,"['electronics engineering lab', 'basic electrical electronics', 'electrical electronics engineering', 'electronics engineering', 'basic electrical', 'electrical electronics', 'engineering lab', 'electronics', 'electrical', 'engineering']"
16,BENG101L,Technical English Communication,"['technical english communication', 'technical english', 'english communication', 'communication', 'technical', 'english']"
17,BENG101N,Effective English Communication,"['effective english communication', 'effective english', 'english communication', 'communication', 'english', 'effective']"
18,BENG101P,Technical English Communication Lab,"['english communication lab', 'technical english communication', 'communication lab', 'technical english', 'english communication', 'english', 'lab', 'communication', 'technical']"
19,BENG102P,Technical Report Writing,"['technical report writing', 'report writing', 'technical report', 'technical', 'report', 'writing']"
20,BFLE200L,Foreign Language,"['foreign language', 'language', 'foreign']"
21,BHSM200L,HSM Elective,"['hsm elective', 'hsm', 'elective']"
22,BSTS101P,Quantitative Skills Practice I,"['quantitative skills practice', 'quantitative skills', 'quantitative', 'skills practice', 'skills', 'practice']"
23,BSTS102P,Quantitative Skills Practice II,"['quantitative skills practice', 'quantitative skills', 'skills practice ii', 'skills practice', 'quantitative', 'practice ii', 'skills', 'practice', 'ii']"
